Celsius; Kelvin; Fahrenheit
0.0; 273.15; 32.0
0.25; 273.4; 32.45
0.5; 273.65; 32.9
0.75; 273.9; 33.35
1.0; 274.15; 33.8
1.25; 274.4; 34.25
1.5; 274.65; 34.7
1.75; 274.9; 35.15
2.0; 275.15; 35.6
2.25; 275.4; 36.05
2.5; 275.65; 36.5
2.75; 275.9; 36.95
3.0; 276.15; 37.4
3.25; 276.4; 37.85
3.5; 276.65; 38.3
3.75; 276.9; 38.75
4.0; 277.15; 39.2
4.25; 277.4; 39.65
4.5; 277.65; 40.1
4.75; 277.9; 40.55
5.0; 278.15; 41.0
5.25; 278.4; 41.45
5.5; 278.65; 41.9
5.75; 278.9; 42.35
6.0; 279.15; 42.8
6.25; 279.4; 43.25
6.5; 279.65; 43.7
6.75; 279.9; 44.15
7.0; 280.15; 44.6
7.25; 280.4; 45.05
7.5; 280.65; 45.5
7.75; 280.9; 45.95
8.0; 281.15; 46.4
8.25; 281.4; 46.85
8.5; 281.65; 47.3
8.75; 281.9; 47.75
9.0; 282.15; 48.2
9.25; 282.4; 48.65
9.5; 282.65; 49.1
9.75; 282.9; 49.55
10.0; 283.15; 50.0
10.25; 283.4; 50.45
10.5; 283.65; 50.9
10.75; 283.9; 51.35
11.0; 284.15; 51.8
11.25; 284.4; 52.25
11.5; 284.65; 52.7
11.75; 284.9; 53.15
12.0; 285.15; 53.6
12.25; 285.4; 54.05
12.5; 285.65; 54.5
12.75; 285.9; 54.95
13.0; 286.15; 55.4
13.25; 286.4; 55.85
13.5; 286.65; 56.3
13.75; 286.9; 56.75
14.0; 287.15; 57.2
14.25; 287.4; 57.65
14.5; 287.65; 58.1
14.75; 287.9; 58.55
15.0; 288.15; 59.0
15.25; 288.4; 59.45
15.5; 288.65; 59.9
15.75; 288.9; 60.35
16.0; 289.15; 60.8
16.25; 289.4; 61.25
16.5; 289.65; 61.7
16.75; 289.9; 62.15
17.0; 290.15; 62.6
17.25; 290.4; 63.05
17.5; 290.65; 63.5
17.75; 290.9; 63.95
18.0; 291.15; 64.4
18.25; 291.4; 64.85
18.5; 291.65; 65.3
18.75; 291.9; 65.75
19.0; 292.15; 66.2
19.25; 292.4; 66.65
19.5; 292.65; 67.1
19.75; 292.9; 67.55
20.0; 293.15; 68.0
20.25; 293.4; 68.45
20.5; 293.65; 68.9
20.75; 293.9; 69.35
21.0; 294.15; 69.8
21.25; 294.4; 70.25
21.5; 294.65; 70.7
21.75; 294.9; 71.15
22.0; 295.15; 71.6
22.25; 295.4; 72.05
22.5; 295.65; 72.5
22.75; 295.9; 72.95
23.0; 296.15; 73.4
23.25; 296.4; 73.85
23.5; 296.65; 74.3
23.75; 296.9; 74.75
24.0; 297.15; 75.2
24.25; 297.4; 75.65
24.5; 297.65; 76.1
24.75; 297.9; 76.55
25.0; 298.15; 77.0
25.25; 298.4; 77.45
25.5; 298.65; 77.9
25.75; 298.9; 78.35
26.0; 299.15; 78.8
26.25; 299.4; 79.25
26.5; 299.65; 79.7
26.75; 299.9; 80.15
27.0; 300.15; 80.6
27.25; 300.4; 81.05
27.5; 300.65; 81.5
27.75; 300.9; 81.95
28.0; 301.15; 82.4
28.25; 301.4; 82.85
28.5; 301.65; 83.3
28.75; 301.9; 83.75
29.0; 302.15; 84.2
29.25; 302.4; 84.65
29.5; 302.65; 85.1
29.75; 302.9; 85.55
30.0; 303.15; 86.0
30.25; 303.4; 86.45
30.5; 303.65; 86.9
30.75; 303.9; 87.35
31.0; 304.15; 87.8
31.25; 304.4; 88.25
31.5; 304.65; 88.7
31.75; 304.9; 89.15
32.0; 305.15; 89.6
32.25; 305.4; 90.05
32.5; 305.65; 90.5
32.75; 305.9; 90.95
33.0; 306.15; 91.4
33.25; 306.4; 91.85
33.5; 306.65; 92.3
33.75; 306.9; 92.75
34.0; 307.15; 93.2
34.25; 307.4; 93.65
34.5; 307.65; 94.1
34.75; 307.9; 94.55
35.0; 308.15; 95.0
35.25; 308.4; 95.45
35.5; 308.65; 95.9
35.75; 308.9; 96.35
36.0; 309.15; 96.8
36.25; 309.4; 97.25
36.5; 309.65; 97.7
36.75; 309.9; 98.15
37.0; 310.15; 98.6
37.25; 310.4; 99.05
37.5; 310.65; 99.5
37.75; 310.9; 99.95
38.0; 311.15; 100.4
38.25; 311.4; 100.85
38.5; 311.65; 101.3
38.75; 311.9; 101.75
39.0; 312.15; 102.2
39.25; 312.4; 102.65
39.5; 312.65; 103.1
39.75; 312.9; 103.55
40.0; 313.15; 104.0
40.25; 313.4; 104.45
40.5; 313.65; 104.9
40.75; 313.9; 105.35
41.0; 314.15; 105.8
41.25; 314.4; 106.25
41.5; 314.65; 106.7
41.75; 314.9; 107.15
42.0; 315.15; 107.6
42.25; 315.4; 108.05
42.5; 315.65; 108.5
42.75; 315.9; 108.95
43.0; 316.15; 109.4
43.25; 316.4; 109.85
43.5; 316.65; 110.3
43.75; 316.9; 110.75
44.0; 317.15; 111.2
44.25; 317.4; 111.65
44.5; 317.65; 112.1
44.75; 317.9; 112.55
45.0; 318.15; 113.0
45.25; 318.4; 113.45
45.5; 318.65; 113.9
45.75; 318.9; 114.35
46.0; 319.15; 114.8
46.25; 319.4; 115.25
46.5; 319.65; 115.7
46.75; 319.9; 116.15
47.0; 320.15; 116.6
47.25; 320.4; 117.05
47.5; 320.65; 117.5
47.75; 320.9; 117.95
48.0; 321.15; 118.4
48.25; 321.4; 118.85
48.5; 321.65; 119.3
48.75; 321.9; 119.75
49.0; 322.15; 120.2
49.25; 322.4; 120.65
49.5; 322.65; 121.1
49.75; 322.9; 121.55
50.0; 323.15; 122.0
50.25; 323.4; 122.45
50.5; 323.65; 122.9
50.75; 323.9; 123.35
51.0; 324.15; 123.8
51.25; 324.4; 124.25
51.5; 324.65; 124.7
51.75; 324.9; 125.15
52.0; 325.15; 125.6
52.25; 325.4; 126.05
52.5; 325.65; 126.5
52.75; 325.9; 126.95
53.0; 326.15; 127.4
53.25; 326.4; 127.85
53.5; 326.65; 128.3
53.75; 326.9; 128.75
54.0; 327.15; 129.2
54.25; 327.4; 129.65
54.5; 327.65; 130.1
54.75; 327.9; 130.55
55.0; 328.15; 131.0
55.25; 328.4; 131.45
55.5; 328.65; 131.9
55.75; 328.9; 132.35
56.0; 329.15; 132.8
56.25; 329.4; 133.25
56.5; 329.65; 133.7
56.75; 329.9; 134.15
57.0; 330.15; 134.6
57.25; 330.4; 135.05
57.5; 330.65; 135.5
57.75; 330.9; 135.95
58.0; 331.15; 136.4
58.25; 331.4; 136.85
58.5; 331.65; 137.3
58.75; 331.9; 137.75
59.0; 332.15; 138.2
59.25; 332.4; 138.65
59.5; 332.65; 139.1
59.75; 332.9; 139.55
60.0; 333.15; 140.0
60.25; 333.4; 140.45
60.5; 333.65; 140.9
60.75; 333.9; 141.35
61.0; 334.15; 141.8
61.25; 334.4; 142.25
61.5; 334.65; 142.7
61.75; 334.9; 143.15
62.0; 335.15; 143.6
62.25; 335.4; 144.05
62.5; 335.65; 144.5
62.75; 335.9; 144.95
63.0; 336.15; 145.4
63.25; 336.4; 145.85
63.5; 336.65; 146.3
63.75; 336.9; 146.75
64.0; 337.15; 147.2
64.25; 337.4; 147.65
64.5; 337.65; 148.1
64.75; 337.9; 148.55
65.0; 338.15; 149.0
65.25; 338.4; 149.45
65.5; 338.65; 149.9
65.75; 338.9; 150.35
66.0; 339.15; 150.8
66.25; 339.4; 151.25
66.5; 339.65; 151.7
66.75; 339.9; 152.15
